排名,创作者,平台,榜单分层,潜力等级,潜力分,粉丝数,平均播放,平均点赞,互动率,稳定度,爆款记录,代表视频,代表视频播放,视频链接,频道链接,Shorts占比,分析信号,字幕关键词,运营观察,数据简评,推荐原因,发布时间
1,bry,youtube,Tier 1,高,56.72,"6,180","1,015,317","12,115",1.72,0.0,有爆款,paparazzi #mm2 #mm2fyp #roblox,"2,913,668",https://www.youtube.com/watch?v=4i-KluCwIY0,https://www.youtube.com/channel/UCsZ366JZ9JpDue96GiOvhMg,否,⚪ 仅基础数据,,bry在MM2细分赛道能制造爆款吸引大量关注，但内容波动明显，短期内难以保证稳定输出，适合尝试重点扶持以激发持续活跃度。,近作平均播放相对粉丝数表现突出；互动率一般，潜力等级设上限；去掉爆款后基础盘波动仍偏大；近作存在单条爆款记录；仍处于早期成长阶段,值得关注｜频道粉丝量小但播放量远超粉丝，爆款视频播放破290万，近5条均值播放超过100万，播放/粉丝比164，表现出强烈的内容吸引力。 玩家群体｜主要面向喜欢Roblox MM2游戏的玩家，内容以长视频及综剪为主，适合喜欢游戏解说和集锦的年轻玩家。 适合游戏｜MM2及类似竞技解谜类Roblox游戏，内容标签和播放表现均聚焦该细分领域。 潜力判断｜偏早期，爆款带动整体数据，基础播放波动较大，互动率一般，需观察是否能稳定发挥。,2026-08-17T18:12:30Z
2,MemeBlock,youtube,Tier 1,高,22.49,"70,200","3,432,063","31,628",1.77,0.0,有爆款,Ding Dong Ditch With Friends 💀 - ROBLOX ANIMATION,"16,313,066",https://www.youtube.com/watch?v=6Qn4YG5-uag,https://www.youtube.com/channel/UCaAIQQuK0ZpJW_aBZ55PK4g,否,⚪ 仅基础数据,,MemeBlock 爆款拉动明显，但基础播放波动大，不太适合依赖稳定输出的长期合作，适合短期集中推广动画剧情类游戏。,近作平均播放相对粉丝数表现突出；互动率一般，潜力等级设上限；去掉爆款后基础盘波动仍偏大；近作存在单条爆款记录,值得关注｜频道粉丝7万，近5条视频均播放超340万，爆款单条播放超1600万，播放/粉丝比近49，表现远超同类，基础盘波动较大但存在爆款带动。 玩家群体｜主要面向喜欢Roblox动画和搞笑内容的年轻玩家，互动率1.77%偏低但符合动画内容特征，用户活跃度一般。 适合游戏｜适合推广以动画剧情和社交互动为核心的Roblox游戏，尤其是轻松幽默、多人合作类项目。 潜力判断｜是，频道爆款表现强劲且粉丝基数稳定，适合重点跟进，注意基础播放波动需持续监控。,2026-08-12T23:00:16Z
3,playit,youtube,Tier 1,中,20.39,"50,400","1,217,508","19,753",2.05,26.33,有爆款,Everything He Said Became TRUE...  #roblox #shorts,"3,528,210",https://www.youtube.com/watch?v=LXa4umDZQTs,https://www.youtube.com/channel/UCBxTpXdYnffF6Ls32EJ8_mg,是,⚪ 仅基础数据,,playit短视频爆发力强，适合快速制造流量热点，但内容波动大，难以稳定培养深度用户。,近作平均播放相对粉丝数表现突出；互动率一般，潜力等级设上限；去掉爆款后基础盘波动仍偏大；近作存在单条爆款记录；内容以 Shorts 为主，适合短视频合作,值得关注｜频道以Roblox Shorts内容为主，近5条视频平均播放量超120万，播放/粉丝比高达24，具备较强的曝光能力，爆款视频播放超350万，表现突出 玩家群体｜粉丝规模中等，互动率2.05%一般，用户活跃度有限，粉丝粘性偏弱，适合追求大流量曝光的项目 适合游戏｜适合短视频形式推广，尤其是玩法简单、节奏快的Roblox游戏，难以承载深度内容或复杂玩法介绍 潜力判断｜偏早期，基础播放波动较大，缺乏稳定持续的高互动，短期内能带来流量但长期转化和粉丝增长存在不确定性,2026-08-17T18:33:41Z
4,CoilRanks,youtube,Tier 1,中,17.13,"47,000","237,262","3,764",1.89,52.51,有爆款,The CUTEST Animal Hospital Moments You'll Ever See! Pt.3 😂,"987,582",https://www.youtube.com/watch?v=aR31N1nXtFU,https://www.youtube.com/channel/UCrZPPGln93tPYu892_bGpUA,否,⚪ 仅基础数据,,CoilRanks内容聚焦萌宠医院，播放稳定但互动偏弱，短期内难以靠现有形式激活粉丝活跃度，适合尝试更多情感共鸣玩法提升用户粘性。,互动率一般，潜力等级设上限；近作存在单条爆款记录,值得关注｜频道粉丝中等，近5条视频均播放超20万，单条爆款近百万播放，内容聚焦动物医院搞笑瞬间，吸引特定兴趣群体 玩家群体｜偏向喜欢萌宠、动物相关内容的年轻观众，互动率1.89%一般，粉丝活跃度中等，适合情感共鸣强的内容推广 适合游戏｜适合休闲、模拟类宠物养成或动物医院题材游戏，结合频道内容能提升用户代入感和转化率 潜力判断｜偏早期，频道播放稳定但互动有限，且无字幕关键词支持，需强化内容多样性和互动机制才能带来更大市场价值,2026-08-16T16:00:08Z
5,Cryocor,youtube,Tier 1,中,14.76,"5,090","10,151",340,3.77,47.63,,New Update In Grow A Garden 2 #gag2 #growagarden2 #growagarden #robloxfyp #roblox,"21,398",https://www.youtube.com/watch?v=WEUbkRLlm-U,https://www.youtube.com/channel/UCvp5gxp5wx9mCi3Z5-86hUQ,否,⚪ 仅基础数据,,Cryocor目前内容主要聚焦经典游戏更新，用户粘性还算稳，但更新节奏和多样性需要加强，短期内难以带来爆发式增长。,近作平均互动率较好；仍处于早期成长阶段,值得关注｜频道粉丝数偏低但播放量有明显放大，代表视频单条播放超2万，互动率稳定在3.77%，表现优于同粉丝量频道 玩家群体｜主要面向Grow A Garden 2和Murder Mystery 2玩家，内容偏向Roblox游戏更新和玩法展示，用户兴趣集中于经典热门游戏 适合游戏｜适合推广Grow A Garden 2、Murder Mystery 2等中小众但有固定玩家基础的Roblox游戏，长视频和综剪形式利于深度内容传播 潜力判断｜偏早期，频道活跃度和播放稳定性尚需提升，内容覆盖面有限，且无字幕信息，需关注后续内容多样化和字幕完善情况,2026-08-17T22:15:54Z
6,Yue Worx,youtube,Tier 1,低,7.89,"18,200","30,780",837,2.68,23.98,,What is happening at Room 6😭 #animalhospital #roblox,"58,200",https://www.youtube.com/watch?v=SoFMwe1n0mQ,https://www.youtube.com/channel/UC-g5ii-9WwPHQRQPYnP-XbA,否,⚪ 仅基础数据,,Yue Worx内容依赖剧情和标签吸引核心玩家，爆款表现抢眼但整体播放波动明显，短期内难以形成稳定增长。,去掉爆款后基础盘波动仍偏大,值得关注｜频道粉丝量中等，代表视频播放远超粉丝数，说明有一定内容吸引力，但基础播放波动较大，缺乏稳定性。 玩家群体｜主要面向喜欢Roblox动物医院类游戏的玩家，内容偏向长视频和综剪，适合喜欢剧情和角色互动的用户。 适合游戏｜Animal Hospital及类似剧情丰富的模拟养成类Roblox游戏，内容标签和标题均围绕该主题，粉丝粘性较强。 潜力判断｜偏早期，频道播放波动较大且互动率一般，缺少字幕关键词支持，内容依赖标题和标签拉流，短期内增长受限。,2026-08-17T17:00:04Z
7,Tiago144p,youtube,Tier 1,低,4.73,"50,500","157,794","4,150",3.53,8.19,,ELE NÃO PERCEBEU MEU PLANO 😏🧠#roblox #gameplay #mm2roblox,"326,165",https://www.youtube.com/watch?v=HfXtq8DLXQ4,https://www.youtube.com/channel/UCxlRpJbNZE4aokK2gwBD5Uw,否,⚪ 仅基础数据,,Tiago144p爆款明显，但内容波动较大，实操技巧吸引核心MM2玩家，短期内更适合战术类游戏推广。,近作平均互动率较好；去掉爆款后基础盘波动仍偏大,值得关注｜频道粉丝5万+，代表视频播放超32万，互动率3.53%高于平均，内容以Roblox MM2玩法长视频为主，粉丝活跃度较好 玩家群体｜主要面向喜欢策略和竞技的Roblox MM2玩家，视频风格偏实操和技巧分享，用户粘性较强 适合游戏｜适合推广Roblox竞技类、策略类游戏，尤其是需要玩家学习战术和技巧的产品 潜力判断｜偏早期，基础播放波动较大且无字幕关键词支持，当前影响力主要依赖爆款视频，需观察内容稳定性提升情况,2026-08-17T22:00:32Z
8,Granny Aura,youtube,Tier 2,中,22.06,"23,300","313,553",0,0.0,73.67,有爆款,Caylus Got 35x LUCK And Won The BEST Brainrot 😱 #roblox #stealabrainrot,"1,237,109",https://www.youtube.com/watch?v=Lqfw6zhiNS4,https://www.youtube.com/channel/UCSxDp-sHQ49VwIz0Ix9fusA,否,⚪ 仅基础数据,,Granny Aura播放稳定但几乎无互动，内容依赖标签拉流量，短期内难以形成社区活跃，跟进需重点观察互动变化。,潜力型 hidden gem（Tier 2）；互动率偏低，播放含金量有限；去掉爆款后基础盘播放较稳定；近作存在单条爆款记录,值得关注｜频道粉丝量中等，近5条视频播放均值较高，存在单条爆款，基础播放稳定但互动率极低，点赞为0，内容主要为长视频和综剪，缺少字幕支持，依赖标题和标签带动流量。 玩家群体｜观众偏向Roblox游戏爱好者，尤其关注Steal A Brainrot相关内容，粉丝活跃度低，互动反馈几乎没有，可能为被动观看或刷量。 适合游戏｜适合推广Steal A Brainrot及类似脑洞类、策略类Roblox游戏，内容风格适合长视频和综剪形式的游戏玩法展示。 潜力判断｜偏早期，频道播放稳定但互动缺失严重，缺乏社区粘性，短期内难以形成有效转化，需关注互动改善情况再评估。,2026-08-17T12:53:47Z
9,ToànLand,youtube,Tier 2,中,17.78,"82,800","70,132",490,0.74,71.29,,Toanland - Cách để có Black Dragon Grow A Garden 2 #roblox #growagarden,"89,183",https://www.youtube.com/watch?v=hw63aPrN9U0,https://www.youtube.com/channel/UCHz8_oQLigwuUf8IaveXQ5Q,否,⚪ 仅基础数据,,ToànLand视频播放稳定，专注游戏攻略但互动偏弱，短期内难以带动用户深度参与，适合测试新游曝光效果。,潜力型 hidden gem（Tier 2）；互动率偏低，播放含金量有限；去掉爆款后基础盘播放较稳定,值得关注｜频道粉丝8.28万，近5条视频平均播放7万，播放/粉丝比0.85，基础播放稳定但互动率仅0.74%，内容以长视频综剪为主，爆款带动明显。 玩家群体｜主要面向Roblox游戏爱好者，视频围绕热门游戏如Grow A Garden 2和Brainrot，用户偏年轻且关注游戏攻略和更新。 适合游戏｜适合推广Roblox内热门或新上线的游戏，尤其是策略类和冒险类，因频道内容聚焦游戏玩法和更新解读。 潜力判断｜偏早期，频道基础播放稳定但互动率低且缺少字幕支持，需提升内容多样性和互动性以增强用户粘性。,2026-08-16T11:00:32Z
10,Titan,youtube,Tier 2,低,17.36,"63,000","654,184",0,0.0,58.97,有爆款,I found Secret Admin Tool❗😱,"2,865,560",https://www.youtube.com/watch?v=vSOXoixqEKg,https://www.youtube.com/channel/UCOoEXjcFmAm41t1sj-612gg,否,⚪ 仅基础数据,,Titan的视频吸引大量非粉丝围观，内容聚焦管理员工具和特权，但互动极低，短期内难以形成稳固社区，合作需谨慎。,潜力型 hidden gem（Tier 2）；互动率偏低，播放含金量有限；近作存在单条爆款记录,值得关注｜频道粉丝数中等，播放量高于粉丝数10倍，说明内容对非粉丝有较强吸引力，但点赞和互动率几乎为零，用户参与度极低 玩家群体｜偏向寻求Roblox管理工具和游戏内特权的玩家，内容多围绕“管理员工具”“成为管理员”主题，适合喜欢探索游戏内部机制的核心玩家 适合游戏｜适合推广含有管理权限、隐藏功能或特殊权限玩法的Roblox游戏，尤其是强调游戏内部秘密和特权体验的项目 潜力判断｜偏早期，播放量虽有爆款但互动缺失严重，短期内难以形成稳定社区和用户粘性，需观察是否能提升互动质量再考虑深度合作,2026-08-17T15:15:26Z
